1  16.165  0.068  fsubbfrmaster001.fits
2  13.629  0.009  fsubbfrmaster001.fits
3  13.092  0.006  fsubbfrmaster001.fits
4  12.669  0.004  fsubbfrmaster001.fits
5  13.330  0.007  fsubbfrmaster001.fits
6  13.680  0.009  fsubbfrmaster001.fits
7  12.743  0.005  fsubbfrmaster001.fits
8  13.345  0.007  fsubbfrmaster001.fits
9  13.131  0.006  fsubbfrmaster001.fits
10  13.997  0.012  fsubbfrmaster001.fits
11  14.639  0.018  fsubbfrmaster001.fits
12  14.267  0.013  fsubbfrmaster001.fits
13  12.547  0.004  fsubbfrmaster001.fits
14  15.117  0.027  fsubbfrmaster001.fits
15  14.305  0.014  fsubbfrmaster001.fits
16  11.351  0.002  fsubbfrmaster001.fits
17  12.643  0.004  fsubbfrmaster001.fits
18  12.643  0.004  fsubbfrmaster001.fits
19  11.565  0.002  fsubbfrmaster001.fits
20  12.378  0.004  fsubbfrmaster001.fits
21  14.002  0.011  fsubbfrmaster001.fits
22  13.603  0.008  fsubbfrmaster001.fits
23  13.142  0.006  fsubbfrmaster001.fits
24  14.381  0.015  fsubbfrmaster001.fits
25  14.415  0.015  fsubbfrmaster001.fits
26  12.426  0.004  fsubbfrmaster001.fits
27  13.352  0.007  fsubbfrmaster001.fits
28  10.791  0.002  fsubbfrmaster001.fits
29  12.380  0.004  fsubbfrmaster001.fits
30  13.645  0.009  fsubbfrmaster001.fits
31  16.109  0.056  fsubbfrmaster008.fits
32  13.601  0.008  fsubbfrmaster008.fits
33  13.038  0.005  fsubbfrmaster008.fits
34  12.644  0.004  fsubbfrmaster008.fits
35  13.351  0.006  fsubbfrmaster008.fits
36  13.671  0.008  fsubbfrmaster008.fits
37  12.735  0.005  fsubbfrmaster008.fits
38  13.320  0.007  fsubbfrmaster008.fits
39  13.134  0.006  fsubbfrmaster008.fits
40  13.975  0.010  fsubbfrmaster008.fits
41  14.640  0.016  fsubbfrmaster008.fits
42  14.262  0.012  fsubbfrmaster008.fits
43  12.531  0.004  fsubbfrmaster008.fits
44  15.073  0.023  fsubbfrmaster008.fits
45  14.297  0.012  fsubbfrmaster008.fits
46  11.394  0.002  fsubbfrmaster008.fits
47  12.633  0.004  fsubbfrmaster008.fits
48  12.633  0.004  fsubbfrmaster008.fits
49  11.609  0.002  fsubbfrmaster008.fits
50  12.357  0.004  fsubbfrmaster008.fits
51  13.979  0.010  fsubbfrmaster008.fits
52  13.569  0.007  fsubbfrmaster008.fits
53  13.160  0.006  fsubbfrmaster008.fits
54  14.406  0.014  fsubbfrmaster008.fits
55  14.424  0.013  fsubbfrmaster008.fits
56  12.428  0.004  fsubbfrmaster008.fits
57  13.389  0.007  fsubbfrmaster008.fits
58  10.841  0.002  fsubbfrmaster008.fits
59  12.360  0.004  fsubbfrmaster008.fits
60  13.653  0.008  fsubbfrmaster008.fits
61  16.286  0.057  fsubbfrmaster015.fits
62  13.593  0.007  fsubbfrmaster015.fits
63  13.050  0.005  fsubbfrmaster015.fits
64  12.644  0.004  fsubbfrmaster015.fits
65  13.312  0.006  fsubbfrmaster015.fits
